x,y,heading,speed,accel,angvel,time
620623.198868,3347854.00657,0.599300012478,-0.444215503748,-0.310282507977,0.00125587556014,28433.4
620623.249693,3347854.04653,0.594031146913,-0.356641349761,-0.285254929991,-0.000245312555488,28433.5
620623.219438,3347854.03973,0.600452164978,-0.396780638024,-0.318922040198,-0.00114698839298,28433.6
620623.258291,3347854.09842,0.614049720677,-0.343609076936,-0.379524168991,0.000640237877717,28433.7
620623.232853,3347854.08153,0.613965565242,-0.381561493835,-0.379524168991,0.000173661254649,28433.8
620623.286614,3347854.13498,0.623343447619,-0.329134783135,-0.424346465569,0.000693180219558,28433.9
620623.256791,3347854.12719,0.629502765092,-0.399399055431,-0.492642112454,0.000671501768322,28434.0
620623.319823,3347854.18454,0.635304393689,-0.36916222668,-0.577978741474,-0.00192458989664,28434.1
620623.283213,3347854.17258,0.640754904965,-0.483739058348,-0.721434526808,0.00134809541209,28434.2
620623.337394,3347854.2303,0.643487250908,-0.455806204932,-0.778136729543,0.00110107439635,28434.3
620623.302654,3347854.21526,0.647475019432,-0.545813089326,-0.812227149793,-9.53569880646e-06,28434.4
620623.353344,3347854.2624,0.652642989776,-0.508513010814,-0.806891004645,-0.00168724562557,28434.5
620623.317611,3347854.24164,0.657091447116,-0.574834780541,-0.769741066661,-0.000987453060036,28434.6
620623.365377,3347854.28718,0.658972652003,-0.489758147262,-0.622717057276,-0.000433574903369,28434.7
620623.329109,3347854.26393,0.662350571096,-0.55287413066,-0.625889340986,-0.00101164158256,28434.8
620623.364979,3347854.29521,0.664867824513,-0.5121310587,-0.615148014168,0.00128192448317,28434.9
620623.329949,3347854.2574,0.660615186498,-0.594007711594,-0.663366519525,-0.00168041290982,28435.0
620623.356694,3347854.27677,0.656926124142,-0.53371936743,-0.582834269057,-7.042497126e-05,28435.1
620623.321838,3347854.2465,0.65450651209,-0.579324831599,-0.551366690659,-0.000338310516584,28435.2
620623.353551,3347854.27042,0.653388437789,-0.540323728976,-0.560590603072,-0.000762556740922,28435.3
620623.312109,3347854.23966,0.652854309964,-0.60311312587,-0.57743005649,-0.001188554259,28435.4
620623.349398,3347854.27074,0.652936504736,-0.526834329795,-0.49412338551,0.000295613369705,28435.5
620623.308574,3347854.24255,0.652182492152,-0.588469318293,-0.525470077025,0.00131646822217,28435.6
620623.342048,3347854.25601,0.646624819538,-0.54821824983,-0.541066385879,-0.000117504372617,28435.7
620623.304052,3347854.23321,0.650063632027,-0.594178574445,-0.51873547753,-0.000290247750809,28435.8
620623.332903,3347854.26192,0.656132069922,-0.538764779871,-0.49285135344,0.000923078433167,28435.9
620623.294472,3347854.23301,0.656344908675,-0.588049915214,-0.49285135344,-0.00210220729069,28436.0
620623.309054,3347854.28648,0.677474215085,-0.544699800308,-0.51365609414,-0.000854917059674,28436.1
620623.268956,3347854.25701,0.679061858433,-0.59826261528,-0.519029215941,-7.91275711766e-05,28436.2
620623.300121,3347854.28323,0.677094671437,-0.546402250567,-0.512990369938,0.00160252125103,28436.3
620623.260447,3347854.26291,0.681885601176,-0.59130879501,-0.496801245227,0.00023871987335,28436.4
620623.29631,3347854.2897,0.680799475713,-0.54467198515,-0.51754427802,0.00194265203127,28436.5
620623.261057,3347854.25474,0.677053256896,-0.59837673846,-0.522081081902,-0.00117412915381,28436.6
620623.294056,3347854.28944,0.681694667658,-0.540953945707,-0.515834324479,-5.71947815383e-06,28436.7
620623.261953,3347854.25989,0.681247286707,-0.586406015578,-0.499013753943,0.000129471282072,28436.8
620623.293115,3347854.28631,0.677839438732,-0.535321760704,-0.498706519063,0.000897833363065,28436.9
620623.248573,3347854.26663,0.684920636254,-0.587628893688,-0.507344971971,-0.000230017922791,28437.0
620623.279785,3347854.29331,0.688280010916,-0.53660262567,-0.4967451914,-0.00043903933302,28437.1
620623.23912,3347854.26533,0.691889681534,-0.580518887211,-0.484105447489,0.000243177600241,28437.2
620623.269825,3347854.29404,0.693960220938,-0.520716928276,-0.463895540018,-0.00188777206087,28437.3
620623.224147,3347854.27114,0.699248801626,-0.573270860241,-0.480394080975,-0.000149422824293,28437.4
620623.25233,3347854.29493,0.69942415614,-0.529146170827,-0.484061230728,0.000164753004338,28437.5
620623.214265,3347854.26412,0.699311783525,-0.582125121935,-0.495983041151,0.00038494219158,28437.6
620623.244935,3347854.28144,0.694551353793,-0.539128395688,-0.518252782173,0.000787155588607,28437.7
620623.212372,3347854.2507,0.692299805297,-0.576716101828,-0.478756947377,-1.79194472962e-05,28437.8
620623.244048,3347854.28338,0.697029964408,-0.523029210126,-0.482867652545,5.66367337772e-05,28437.9
620623.207984,3347854.25351,0.696357848452,-0.57131597538,-0.482867652545,-0.00172619193209,28438.0
620623.239838,3347854.2805,0.700748150936,-0.532470430783,-0.506308799511,0.000915457179181,28438.1
620623.205273,3347854.24853,0.70046925142,-0.585882971852,-0.513292288048,0.000191743520277,28438.2
620623.232265,3347854.27969,0.714116271714,-0.547478602232,-0.53116728404,-0.000515973424594,28438.3
620623.202016,3347854.23317,0.704116504199,-0.591701688737,-0.510771973231,4.28810454568e-05,28438.4
620623.237289,3347854.26261,0.706474763141,-0.539631825357,-0.507103149826,-0.00123103431598,28438.5
620623.197868,3347854.22759,0.705879007224,-0.609684953391,-0.557568898307,-0.00079925136384,28438.6
620623.225323,3347854.25498,0.711456713087,-0.555556126573,-0.54384530707,-0.000257980982467,28438.7
620623.188663,3347854.228,0.7138356111,-0.60175022169,-0.52085820309,-0.00010764820711,28438.8
620623.224142,3347854.25401,0.71489546845,-0.552614693851,-0.537165593951,0.000801759551366,28438.9
620623.186916,3347854.22122,0.715109764935,-0.606331253245,-0.537165593951,0.00189534521954,28439.0
620623.224636,3347854.24348,0.716241678828,-0.562705287523,-0.548186122132,0.001481590811,28439.1
620623.183752,3347854.21086,0.718265266691,-0.625543091144,-0.567693135862,-0.000840029363433,28439.2
620623.218141,3347854.23889,0.720446875643,-0.559543226975,-0.528783132206,-0.000926984058713,28439.3
620623.170751,3347854.2163,0.729877630768,-0.604104484636,-0.50915525296,-0.000611906657604,28439.4
620623.200902,3347854.24057,0.733548171022,-0.559341487621,-0.527386820398,-0.000959183452623,28439.5
620623.162831,3347854.2057,0.733188795069,-0.621568317708,-0.551505369566,-0.000330117693509,28439.6
620623.200776,3347854.22939,0.731539333436,-0.555156967989,-0.516998616907,6.78171856226e-05,28439.7
620623.168215,3347854.19076,0.725542627603,-0.609027374525,-0.521647750115,-0.00247923744259,28439.8
620623.209333,3347854.20841,0.717007982431,-0.557532000249,-0.537400649881,0.000790708054551,28439.9
620623.176429,3347854.16984,0.714107945567,-0.611170710732,-0.537576153529,-0.000444191441519,28440.0
620623.213527,3347854.19667,0.716160809411,-0.553514429713,-0.526016903259,0.00226576954416,28440.1
620623.177553,3347854.16482,0.716959559008,-0.597933653137,-0.506992520484,-0.00307139846222,28440.2
620623.208344,3347854.19116,0.721528519046,-0.546003648115,-0.50336084775,-0.00107114248451,28440.3
620623.177794,3347854.14533,0.714203407186,-0.607371735444,-0.532690851559,-0.00362467178255,28440.4
620623.210784,3347854.17036,0.718573502113,-0.557357838768,-0.524125957948,-0.00177150454961,28440.5
620623.174554,3347854.13779,0.71921233729,-0.602410476003,-0.505515648359,0.000429691876945,28440.6
620623.213316,3347854.16867,0.725370162603,-0.532576586337,-0.480689047938,-0.00307015330595,28440.7
620623.17784,3347854.1417,0.727923939591,-0.585604987811,-0.493304288751,0.000863585736886,28440.8
620623.213316,3347854.17232,0.734609838783,-0.520884993252,-0.471974676055,-0.000974505273222,28440.9
620623.179673,3347854.14607,0.735713312004,-0.565856415951,-0.464774975594,0.000834737715361,28441.0
620623.215176,3347854.17134,0.741113258543,-0.515899351242,-0.472369008612,0.00114712340511,28441.1
620623.181943,3347854.13961,0.742034672015,-0.563136252102,-0.472369008612,-0.000721408699406,28441.2
620623.21707,3347854.17527,0.749740020437,-0.505740669382,-0.475512859593,-0.000301883300802,28441.3
620623.184862,3347854.14977,0.752843891696,-0.549611317525,-0.467530676099,-0.000551554733591,28441.4
620623.216504,3347854.17765,0.759014551394,-0.493241837226,-0.45157368991,-0.00111737596602,28441.5
620623.184345,3347854.14179,0.757176945492,-0.554506433784,-0.492209790905,0.0020389687662,28441.6
620623.208684,3347854.18182,0.772562337731,-0.512367619266,-0.514397846578,0.00115233780488,28441.7
620623.176215,3347854.15296,0.774048413836,-0.566079675253,-0.519642973217,0.000380496135874,28441.8
620623.207489,3347854.17502,0.778795286821,-0.504568167934,-0.471582699015,-0.000865629542626,28441.9
620623.177715,3347854.1293,0.773287460779,-0.572601803001,-0.52949929301,-0.00205589025834,28442.0
620623.205664,3347854.16065,0.78618842868,-0.531064733875,-0.544370730264,0.000122423988296,28442.1
620623.175001,3347854.12542,0.785568026204,-0.577180866521,-0.521294983938,0.00021266779985,28442.2
620623.208213,3347854.14995,0.790343419729,-0.526545080864,-0.51064461069,-0.000671745542708,28442.3
620623.174441,3347854.11194,0.787508974527,-0.581014563838,-0.516684492636,-0.000891191227134,28442.4
620623.197411,3347854.14125,0.806444688552,-0.545317178517,-0.533292807469,-0.00284673002458,28442.5
620623.161729,3347854.10651,0.807819798972,-0.608147349966,-0.556107621404,0.00165954676243,28442.6
620623.196363,3347854.12823,0.811610499988,-0.550824042025,-0.520824473928,-0.00316457468901,28442.7
620623.161069,3347854.09289,0.813287877438,-0.604475125792,-0.524626287406,-0.00293995654741,28442.8
620623.189549,3347854.11612,0.821599922611,-0.561478851165,-0.539917120044,-0.000221629954644,28442.9
